name,url,details
Asana,https://bugcrowd.com/asana,"


No technology is perfect and Asana believes that working with skilled security researchers across the globe is crucial in identifying weaknesses in any technology. We are excited for you to participate as a security researcher in order to identify weaknesses in our web apps. If you believe you've found a security issue, we encourage you to notify us. We welcome working with you to resolve the issue promptly.
Ratings/Rewards:
For the initial prioritization/rating of findings, this program will use the Bugcrowd Vulnerability Rating Taxonomy. However, it is important to note that in some cases a vulnerability priority will be modified due to its likelihood or impact. In any instance where an issue is downgraded, a full, detailed explanation will be provided to the researcher - along with the opportunity to appeal, and make a case for a higher priority.
Asana uses a nonce based CSP policy. If you discover an XSS vulnerability that you cannot exploit due to the CSP policy, but would at least be a P4 without the CSP policy present, we will reward that vulnerability as if it was a P4.




Scope and rewards




Program rules


This program follows Bugcrowd’s
standard disclosure terms.


For any testing issues (such as broken credentials, inaccessible application, or Bugcrowd Ninja email
problems), please email support@bugcrowd.com. We will address your issue as soon as possible.



This program does not offer financial or point-based rewards for
P5
— Informational findings.
Learn more about Bugcrowd’s VRT.




"
"Appliances - Barracuda Networks, Inc.",https://bugcrowd.com/barracuda,"


As a creator of technologies and products that help businesses protect their resources and users, Barracuda Networks continuously focuses on improving the security of our products.




Scope




Program rules


This program follows Bugcrowd’s
standard disclosure terms.


For any testing issues (such as broken credentials, inaccessible application, or Bugcrowd Ninja email
problems), please email support@bugcrowd.com. We will address your issue as soon as possible.



Learn more about Bugcrowd’s VRT.




"
Kaleido,https://bugcrowd.com/kaleido,"


No technology is perfect and Kaleido believes that working with skilled security researchers across the globe is crucial in identifying weaknesses in any technology. We are excited for you to participate as a security researcher to help us identify vulnerabilities in our assets. Good luck, and happy hunting!
Ratings/Rewards:
For the initial prioritization/rating of findings, this program will use the Bugcrowd Vulnerability Rating Taxonomy. However, it is important to note that in some cases a vulnerability priority will be modified due to its likelihood or impact. In any instance where an issue is downgraded, a full, detailed explanation will be provided to the researcher - along with the opportunity to appeal, and make a case for a higher priority.




Scope and rewards




Program rules


This program follows Bugcrowd’s
standard disclosure terms.


For any testing issues (such as broken credentials, inaccessible application, or Bugcrowd Ninja email
problems), please email support@bugcrowd.com. We will address your issue as soon as possible.



This program does not offer financial or point-based rewards for
P5
— Informational findings.
Learn more about Bugcrowd’s VRT.




"
WOO Network: Bug Bounty Program,https://bugcrowd.com/woo-network,"


No technology is perfect and WOO Network believes that working with skilled security researchers across the globe is crucial in identifying weaknesses in any technology. We are excited for you to participate as a security researcher to help us identify vulnerabilities in our web applications and API. Good luck, and happy hunting!
Ratings/Rewards:
For the initial prioritization/rating of findings, this program will use the Bugcrowd Vulnerability Rating Taxonomy. However, it is important to note that in some cases a vulnerability priority will be modified due to its likelihood or impact. In any instance where an issue is downgraded, a full, detailed explanation will be provided to the researcher - along with the opportunity to appeal, and make a case for a higher priority.
The final bounty will be the Base Bounty + PII Bonus (if any) +Special Bonus (if any) 



type
Category
Maximum Rewards
Notes




P1
Remote Code Execution (RCE)
$10,000
The ability to execute arbitrary system commands on a remote server with no circumstances beyond the attacker’s control will qualify for a maximum reward.


P1
Server Side Request Forgery (SSRF)
$6000 – $9000
The ability to make arbitrary network requests within WOO Network’s internal network and read sensitive data would qualify for a maximum reward. Factors that may limit severity include: Blind SSRF (unable read data or only certain file types, like images) and Limited to the type of requests that can be made (e.g. POST only).


P1
SQL Injection
$6000 – $9000



P1
Sensitive File Access
$6000 – $9000



P2
Account takeover
$2000 – $4000
The maximum reward is reserved for account takeover vulnerabilities that require no user interaction.


P2
Logic flaw
$2000 – $4000
This includes (non-exhaustive) ways to exploit the fact that the application does not behave as expected, such as: Changing/altering of parameters that results in unintended behavior (Eg: IDOR) or Bypassing paywall, approval process, business workflow within the application or Bypassing authentication mechanism.


P3
Cross-Site Scripting (XSS)
$1000 - $2000
XSS vulnerabilities are limited to a base reward of $1,000. If you can access sensitive data, you may also be eligible for the PII bonus. If the XSS can be escalated to a more severe vulnerability, it will be evaluated under that category.


P3
CSRF
$1000 - $2000



P4
Other valid vulnerabilities
$200 - $1500




Bonus rewards in addition to base bounties:



Type
Bonus amount




Special Bonus
Up to $5000


Personal information leakage
Up to $5000



Report Assessment and Bounty Calculations
1) Base Bounty Maximum reward is based on the bounty table. The report is then evaluated based on maximum reward, CVSS and an evaluation of the business impact.
2) Other rewards: Personal information leakage (PII) We aim to follow the below when awarding bounties, but the following should be considered a guideline and exceptions may apply.

Category A – Max $5000:


Financially sensitive data (Example: Credit card details, incl. either CVC/CVV number and/or full card number)
Biometric data (Example: Fingerprint features used for authentication)
Official documents used for identification (Example: Passport)
Any information covered by Personal Information Protection law (Example: Information that allows one to uniquely identifying a person)


Category B – Max $2000:


Partially identifying information (Example: Full address incl. apartment number, if applicable)
Information not supposed to be available to the attacker (Example: Account Amount and Transaction History)


Category C – Max $1000:


Other types of sensitive user information (Example: Full name, List of previous purchases)



3) Other rewards: Special Bonus This category is for rewarding special contributions. This is entirely up to the WOO Network Bug Bounty team’s discretion, but the goal is to reward reports we consider exceptional. Reports that qualify based on the below will have their bounty increased up to $5,000.
A few examples of things we will be looking for are:

Novel and innovative approach and exploit 
Creative chaining of exploits 
Easy to understand report and good description root cause of issue
Vulnerabilities that could undermine the safety of any user or validator's fund/fee
Vulnerabilities related to key generation, encryption, decryption, signing and verification
Remote leaks of unencrypted private keys / mnemonic / key seed
Vulnerabilities that could severely undermine trading or token economy.

Examples of issues that we are looking for:

Vulnerabilities that can cause a loss of user funds/assets remotely
Vulnerabilities that can cause exposure of private keys or mnemonic seed phrase remotely
Vulnerabilities in chain-related implementations
Denial of service of the wallet app
Remote code execution
Insecure cryptographic implementation for sensitive functions such as wallet generation, transaction signing etc.


Testing is only authorized on the targets listed as in scope. Any domain/property of WOO Network} not listed in the targets section is out of scope. This includes any/all subdomains not listed above. If you happen to identify a security vulnerability on a target that is not in scope, but it demonstrably belongs to WOO Network, you can report it to this program. However, be aware that it is ineligible for rewards or points-based compensation.





Scope and rewards




Program rules


This program follows Bugcrowd’s
standard disclosure terms.


For any testing issues (such as broken credentials, inaccessible application, or Bugcrowd Ninja email
problems), please email support@bugcrowd.com. We will address your issue as soon as possible.



This program does not offer financial or point-based rewards for
P5
— Informational findings.
Learn more about Bugcrowd’s VRT.




"
Mathematical software solutions provider,https://bugcrowd.com/programs/teasers/eQuhxoBoidGUJpQZgWisbrrk,"


These web and API targets are used by engineers and scientists around the world to perform a multitude of mathematical tasks. 





Targets




website




api





The inscope target list includes a wide range of web and API targets. Along with generous rewards, you’ll be provided two highest privilege accounts to aid your testing.  




Program rules



Learn more about Bugcrowd’s VRT.



"
 1Password,https://bugcrowd.com/agilebits,"


Program details
Thanks for your interest in the 1Password bug bounty program! We're happy you're here.
Our goal is to make 1Password as secure as possible and we see that ongoing process as a team effort. External security evaluations are an important part of the process and make 1Password a better, safer product. We need researchers who can think creatively, and work 'outside the box', to find security bugs.
We use scope to point people to what we want tested. Out of scope targets can receive rewards, but they are at our discretion.
This is not an easy program. For example, running scanners is unlikely to help you here, and standard XSS-type injections won't yield much either. But we want to help.
Doing our part
1Password is committed to helping you succeed in this program, so we've set up a researcher vault with additional helpful information. To receive an invitation to the vault, opt in by emailing support+bugcrowd@agilebits.com with your Bugcrowd username; you'll be provisioned account access to the 1Password vault where we provide supplemental information for testing. This includes documentation on real issues that were recently found (which may provide direction toward more issues) and more.
We also accept bug bounty submissions on other accounts, such as your own active 1Password account or trial accounts you made.
If you believe you've found something close to exploitation, but aren't quite there yet, we are happy to answer any questions you have that could help you further your theory. Note that some requests may not be answered unless documentation already exists, depending on the complexity. In other words, we'll make a good faith effort to help you, but understand that complex or very time-consuming requests do not come with any guarantee of help.
Where to start
Our white paper is your guide. It explains our security decisions and several considerations. At the very least, please read the Beware of the Leopard section near the end.
1Password.com uses security mechanisms that make it hard to analyze with standard tools like Burp. Therefore we have a tool that helps you investigating 1Password.com requests and responses with your own session key here: https://github.com/1Password/burp-1password-session-analyzer
$1 Million Reward - Capture the Flag
The 'flag' you're after is a note in the white box testing account that contains bad poetry. But our version of Capture the Flag is unlike others. There are no known vulnerabilities that will award you access to the bad poetry; there is no starting point, and it's not a game with a guaranteed reward.
Phishing, malware, and anything that involves tricking or compromising a 1Password member's account are not allowed.
We are happy to answer general questions and to help you understand 1Password, but we will not provide any direct assistance to assist with capturing the 'flag'.
A valid submission detailing the steps used to Capture the Flag is the only way to earn the $1 million reward.
We want to hear from you
We love feedback about our bug bounty program and documentation; we appreciate any comments about how we might improve our approach.
Please note: This is NOT an easy web target (for instance, running scanners is unlikely to help you here, and standard XSS-type injections won't yield much either). That said, 1Password is committed to helping you succeed on this program. To this end, they've setup a researcher vault with additional, helpful information, that requires you opt-in to receive an invite. You can opt-in by emailing support+bugcrowd@agilebits.com with your Bugcrowd username, and you'll be provisioned account access to the vault where 1Password provides supplemental information for testing against the application - including documentation on real issues that were recently found (so as to give direction towards where more issues may be present) and more.




Scope and rewards




Program rules


This program follows Bugcrowd’s
standard disclosure terms.


For any testing issues (such as broken credentials, inaccessible application, or Bugcrowd Ninja email
problems), please email support@bugcrowd.com. We will address your issue as soon as possible.



This program does not offer financial or point-based rewards for
P5
— Informational findings.
Learn more about Bugcrowd’s VRT.

This bounty requires explicit permission to disclose the results of a submission.




"
American Battle Monuments Commission,https://bugcrowd.com/abmc-vdp,"


The American Battle Monuments Commission honors America's fallen service members and their stories at 26 overseas cemeteries and 32 memorials.
Introduction
ABMC is committed to ensuring the security of the American public by protecting their information. This policy is intended to give security researchers clear guidelines for conducting vulnerability discovery activities and to convey our preferences about how to submit discovered vulnerabilities to us.
This policy describes what systems and types of research are covered under this policy, how to send us vulnerability reports, and how long we ask security researchers to wait before publicly disclosing vulnerabilities.
We encourage you to contact us to report potential vulnerabilities in our systems.
Authorization
If you make a good faith effort to comply with this policy during your security research, we will consider your research to be authorized we will work with you to understand and resolve the issue quickly, and ABMC will not recommend or pursue legal action related to your research. Should legal action be initiated by a third party against you for activities that were conducted in accordance with this policy, we will make this authorization known.
Guidelines
Under this policy, “research” means activities in which you:

Notify us as soon as possible after you discover a real or potential security issue.
Make every effort to avoid privacy violations, degradation of user experience, disruption to production systems, and destruction or manipulation of data.
Only use exploits to the extent necessary to confirm a vulnerability’s presence. Do not use an exploit to compromise or exfiltrate data, establish persistent command line access, or use the exploit to pivot to other systems.
Provide us a reasonable amount of time to resolve the issue before you disclose it publicly.
Do not submit a high volume of low-quality reports.
Once you’ve established that a vulnerability exists or encounter any sensitive data (including personally identifiable information, financial information, or proprietary information or trade secrets of any party), you must stop your test, notify us immediately, and not disclose this data to anyone else.

Test methods
The following test methods are not authorized:

Network denial of service (DoS or DDoS) tests or other tests that impair access to or damage a system or data
Physical testing (e.g. office access, open doors, tailgating), social engineering (e.g. phishing, vishing), or any other non-technical vulnerability testing






Scope




Program rules


This program follows Bugcrowd’s
standard disclosure terms.


For any testing issues (such as broken credentials, inaccessible application, or Bugcrowd Ninja email
problems), please email support@bugcrowd.com. We will address your issue as soon as possible.



Learn more about Bugcrowd’s VRT.




"
Backblaze,https://bugcrowd.com/backblaze,"


No technology is perfect and Backblaze believes that working with skilled security researchers across the globe is crucial in identifying weaknesses in any technology. We are excited for you to participate as a security researcher to help us identify vulnerabilities in our assets. Good luck, and happy hunting!
Non-Disclosure
Please note: This program does not allow disclosure at any time, even after you leave the program. You may not release information about vulnerabilities found in this program to the public or anyone other than Backblaze. Any offender of this non-disclosure policy shall be removed from the program, shall repay any rewards payment to Backblaze, and shall be subject to the Bugcrowd policies and guidelines on Bugcrowd’s sites, including but not limited to the Bugcrowd Code of Conduct. This does not constitute a waiver of any rights Backblaze may otherwise have under applicable laws.

Ratings/Rewards:
For the initial prioritization/rating of findings, this program will use the Bugcrowd Vulnerability Rating Taxonomy. However, it is important to note that in some cases a vulnerability priority will be modified due to its likelihood or impact. In any instance where an issue is downgraded, a full, detailed explanation will be provided to the researcher - along with the opportunity to appeal, and make a case for a higher priority.
Special Rewards & Bonuses ($15k Reward)
Backblaze is offering a special $15k reward for any researcher that is able to 

Bypass Backblaze's enhanced ransom ware protection and break object lock. 
Demonstrate a way to delete files prior to the object lock expiration.
Permanently delete files so that they are not available in the version history and bypass the 30 day, 1 year or forever file retention policies.






Scope and rewards




Program rules


This program follows Bugcrowd’s
standard disclosure terms.


For any testing issues (such as broken credentials, inaccessible application, or Bugcrowd Ninja email
problems), please email support@bugcrowd.com. We will address your issue as soon as possible.



This program does not offer financial or point-based rewards for
P5
— Informational findings.
Learn more about Bugcrowd’s VRT.




"
Lime,https://bugcrowd.com/lime,"


About Lime
Lime is an urban transportation leader that offers mobility services, including scooters and bikes.
Ratings and Rewards
For the initial prioritization and rating of findings, this program will use the Bugcrowd Vulnerability Rating Taxonomy.
However, in some cases, a vulnerability priority can be modified based on impact or risk. When an issue is downgraded, a full, detailed explanation will be provided to the researcher - along with the opportunity to appeal and make a case for a higher priority.
Credentials

You can self-register for the lime rider/juicer apps which are found on the


App Store
Google Play



Other Philosophies

Focus on impact. Minor misconfiguration alone does not qualify for rewards.
For 0day issues, we aim at patching within 30 days. Reports within 30 days of vulnerability release may not be rewarded.
For vulnerability of a vendor (for example, Zendesk, Hubspot), please report to the vendor directly to avoid double reporting.





Scope and rewards




Program rules


This program follows Bugcrowd’s
standard disclosure terms.


For any testing issues (such as broken credentials, inaccessible application, or Bugcrowd Ninja email
problems), please email support@bugcrowd.com. We will address your issue as soon as possible.



This program does not offer financial or point-based rewards for
P5
— Informational findings.
Learn more about Bugcrowd’s VRT.




"
Help an Secure an Educational Non-Profit,https://bugcrowd.com/programs/teasers/misty-sound-7666,"


A leading educational non-profit organization has a web application that serves millions of students and their teachers with an online literacy curriculum in English and Spanish. They are looking to have more testers scrutinize their application.



Reward range
Last updated 10 Feb 2022 16:19:09 UTC




Technical severity
Reward range






p1


Critical



$3,100 - $3,500





p2


Severe



$1,500 - $1,850





p3


Moderate



$600 - $750





p4


Low



$150 - $200








P5 submissions do not receive any rewards for this program.




Targets




website





Web Application, Ruby on Rails, PostgreSQL,Heroku & AWS
Web & API testing




Program rules



Learn more about Bugcrowd’s VRT.



"
Gorillas,https://bugcrowd.com/gorillas-vdp,"


Born out of a love for cycling and a desire to bring about change, Gorillas is redefining an entire industry from the ground up. Until recently, groceries delivered to your door in minutes was a concept that was almost unimaginable. Today, our rider crew makes magic happen on the daily.
Our company recognizes the importance of security, privacy and community, and values the input of hackers acting in good-faith to help us maintain a high standard for our users. This includes encouraging responsible vulnerability research and the disclosure of security vulnerabilities.
Our vulnerability disclosure policy describes our expectations throughout this process, the channels we’ve created for hackers to communicate with us, and what you can expect from us in return.
Thank you for your interest in making the Internet safer!




Scope




Program rules


This program follows Bugcrowd’s
standard disclosure terms.


For any testing issues (such as broken credentials, inaccessible application, or Bugcrowd Ninja email
problems), please email support@bugcrowd.com. We will address your issue as soon as possible.



Learn more about Bugcrowd’s VRT.




"
Pretrial Services Agency for the District of Columbia,https://bugcrowd.com/psa-vdp,"


Introduction
The Pretrial Services Agency for the District of Columbia (PSA) is a federal independent entity within the Court Services and Offender Supervision Agency (CSOSA). PSA has served the Nation's Capital for more than 50 years. The Agency assists judicial officers in both the Superior Court for the District of Columbia and the United States District Court for the District of Columbia in formulating release recommendations and providing supervision and services to defendants awaiting trial that reasonably assure that those on conditional release return to court and do not engage in criminal activity.
PSA is committed to ensuring the security of the American public by protecting their information. This policy is intended to give security researchers clear guidelines for conducting vulnerability discovery activities and to convey our preferences in how to submit discovered vulnerabilities to us.
This policy describes what systems and types of research are covered under this policy, how to send us vulnerability reports, and how long we ask security researchers to wait before publicly disclosing vulnerabilities.
We encourage you to contact us to report potential vulnerabilities in our systems.
Authorization
If you make a good faith effort to comply with this policy during your security research, we will consider your research to be authorized we will work with you to understand and resolve the issue quickly, and PSA will not recommend or pursue legal action related to your research. Should legal action be initiated by a third party against you for activities that were conducted in accordance with this policy, we will make this authorization known.
Guidelines
Under this policy, “research” means activities in which you:

Notify us as soon as possible after you discover a real or potential security issue.
Make every effort to avoid privacy breaches, degradation of user experience, disruption to production systems, and destruction or manipulation of data. In the event you encounter personally identifiable information during your testing, you will immediately cease testing and notify the PSA.
Only use exploits to the extent necessary to confirm a vulnerability’s presence. Do not use an exploit to compromise or exfiltrate data, establish command line access and/or persistence, or use the exploit to pivot to other systems.
Provide us a minimum of 90 day’s to resolve the issue before requesting to publicly disclose the report.
Do not submit a high volume of low-quality reports.

Once you’ve established that a vulnerability exists or encounter any sensitive data (including personally identifiable information, financial information, or proprietary information or trade secrets of any party), you must stop your test, notify us immediately, and not disclose this data to anyone else.
Test methods
The following test methods are not authorized:

Network denial of service (DoS or DDoS) tests or other tests that impair access to or damage a system or data (Such as Brute Force Testing).
Physical testing (e.g. office access, open doors, tailgating), social engineering (e.g. phishing, vishing), or any other non-technical vulnerability testing. 





Scope




Program rules


This program follows Bugcrowd’s
standard disclosure terms.


For any testing issues (such as broken credentials, inaccessible application, or Bugcrowd Ninja email
problems), please email support@bugcrowd.com. We will address your issue as soon as possible.



Learn more about Bugcrowd’s VRT.




"
Flourish,https://bugcrowd.com/flourish,"


Flourish is an easy to use data visualization and story-telling platform. Here at Flourish we believe no technology is perfect, and we want to have the crowd find security vulnerabilities for us to fix! 
We take the security of our systems seriously, and we value the security researcher community. Your responsible disclosure of security vulnerabilities by security researchers helps us ensure the security and privacy of our users.
Guidelines
We require that all researchers:
-Include a bug URL in the submission details otherwise the submission will not be accepted

Make a every effort to avoid privacy violations, degradation of user experience, disruption to production systems, and destruction of data during security testing
Perform research only within the scope set out below
Use the identified communication channels to report vulnerability information to us
Use your @bugcrowdninja email address when testing
Use an X-BugBounty: username header to uniquely tag all attack traffic

Thank you for participating, it is your work that will help to keep us secure.

Ratings/Rewards:
For the initial prioritization/rating of findings, this program will use the Bugcrowd Vulnerability Rating Taxonomy. However, it is important to note that in some cases a vulnerability priority will be modified due to its likelihood or impact. In any instance where an issue is downgraded, a full, detailed explanation will be provided to the researcher - along with the opportunity to appeal, and make a case for a higher priority.




Scope and rewards




Program rules


This program follows Bugcrowd’s
standard disclosure terms.


For any testing issues (such as broken credentials, inaccessible application, or Bugcrowd Ninja email
problems), please email support@bugcrowd.com. We will address your issue as soon as possible.



This program does not offer financial or point-based rewards for
P5
— Informational findings.
Learn more about Bugcrowd’s VRT.




"
Digital Shadows VDP,https://bugcrowd.com/digitalshadows-vdpesf,"


Our company recognizes the importance of security, privacy and community, and values the input of hackers acting in good-faith to help us maintain a high standard for our users. This includes encouraging responsible vulnerability research and the disclosure of security vulnerabilities.
Our vulnerability disclosure policy describes our expectations throughout this process, the channels we’ve created for hackers to communicate with us, and what you can expect from us in return.
Thank you for your interest in making the Internet safer!




Scope




Program rules


This program follows Bugcrowd’s
standard disclosure terms.


For any testing issues (such as broken credentials, inaccessible application, or Bugcrowd Ninja email
problems), please email support@bugcrowd.com. We will address your issue as soon as possible.



Learn more about Bugcrowd’s VRT.




"
Railroad Retirement Board - Vulnerability Disclosure Program,https://bugcrowd.com/rrb-vdp,"


Introduction
As part of a U.S. government agency, the Railroad Retirement Board (RRB) takes seriously our responsibility to protect the railroad public's information, including financial and personal information, from unwarranted disclosure.  A part of this responsibility is allowing security researchers to seek vulnerabilities in the RRB’s systems that support the mission of the agency.
We want security researchers to feel comfortable reporting vulnerabilities they've discovered, as set out in this policy, so that we can fix them and keep our information safe.
This policy describes what systems and types of research are covered under this policy, how to send us vulnerability reports, and how long we ask security researchers to wait before publicly disclosing vulnerabilities.

Guidelines
We require that you:
Make every effort to avoid privacy violations, degradation of user experience, disruption to production systems, and destruction or manipulation of data.
Only use exploits to the extent necessary to confirm a vulnerability. Do not use an exploit to compromise or exfiltrate data, establish command line access and/or persistence, or use the exploit to ""pivot"" to other systems. Once you've established that a vulnerability exists, or encountered any of the sensitive data outlined below, you must stop your test and notify us immediately.
Keep confidential any information about discovered vulnerabilities for up to 90 calendar days after you have notified RRB.

Legal
You must comply with all applicable Federal, State, and local laws in connection with your security research activities or other participation in this vulnerability disclosure program.
RRB does not authorize, permit, or otherwise allow (expressly or impliedly) any person, including any individual, group of individuals, consortium, partnership, or any other business or legal entity to engage in any security research or vulnerability or threat disclosure activity that is inconsistent with this policy or the law. If you engage in any activities that are inconsistent with this policy or the law, you may be subject to criminal and/or civil liabilities.
To the extent that any security research or vulnerability disclosure activity involves the networks, systems, information, applications, products, or services of a non-RRB entity (e.g., other Federal departments or agencies; State, local, or tribal governments; private sector companies or persons; employees or personnel of any such entities; or any other such third party), that non-RRB third party may independently determine whether to pursue legal action or remedies related to such activities.
If you conduct your security research and vulnerability disclosure activities in accordance with the restrictions and guidelines set forth in this policy, (1) RRB will not initiate or recommend any law enforcement or civil lawsuits related to such activities, and (2) in the event of any law enforcement or civil action brought by anyone other than RRB, RRB will communicate as appropriate, in the absence of any legal restriction on RRB's ability to so communicate, that your activities were conducted pursuant to and in compliance with this policy.





Scope




Program rules


This program follows Bugcrowd’s
standard disclosure terms.


For any testing issues (such as broken credentials, inaccessible application, or Bugcrowd Ninja email
problems), please email support@bugcrowd.com. We will address your issue as soon as possible.



Learn more about Bugcrowd’s VRT.




"
Secure the Leading Sales Engagement Platform,https://bugcrowd.com/programs/teasers/black-fire-29,"


We're the industry leading sales engagement platform for managing email, calendar, and sales data and insights. Our platform is a multi-tenant SaaS application that integrates with email and CRM systems.





Targets




api




website




other





Web front-end with Go and Ruby-based GraphQL back-end




Program rules



Learn more about Bugcrowd’s VRT.



"
Cloudinary,https://bugcrowd.com/cloudinary,"


Cloudinary, a SaaS/API provider that streamlines a website's entire image management pipeline, is the market leader in providing a comprehensive cloud-based image and video management platform. 
Using Cloudinary you can easily move all your website’s images and other assets to the cloud. Automatically perform smart image resizing, cropping, merging, overlay, watermark, apply effects, rotations and perform format conversions. All this without installing any complex software. Simply put, if you have images in your web or mobile app, let Cloudinary manage them for you.
Cloudinary offers comprehensive APIs and administration capabilities and is easy to integrate with any web application. To simplify integration further we also have client libraries for Ruby on Rails, Python/Django, PHP, .NET, Node.js and more. In addition, alternative integration methods allow non-developers, bloggers and website administrators to enjoy Cloudinary with nearly zero code changes.
We truly believe that this program plays a key role in protecting our customers and their data. We appreciate all security submissions and strive to respond in an expedient manner.

General Guidelines

Vulnerability reports which do not include careful manual validation - for example, reports based only on results from automated tools and scanners or which describe theoretical attack vectors without proof of exploitability - will be automatically closed as “Not Applicable”.
Verify your submission details, steps to reproduce and working proof of concept.
Collect only the information necessary to demonstrate the vulnerability. Do not conduct any escalation processes. Please report it “as is” and we will reward you with an appropriate bounty taking into full consideration the severity of what could be done. 
When investigating a vulnerability, please only target your own account and do not attempt to access data from anyone else’s account.

Reward Guidelines
We base all payouts on impact and will reward accordingly. Please emphasize the impact as part of your submission.
We are particularly interested and will consider extraordinary submissions for:

Major exposures around customer data leak
Issues that result in full compromise of a system (e.g, RCE, obtain a shell back from our network)
Business logic bypasses resulting in significant impact
Major operational failure (excluding Denial of Service related submissions)





Scope and rewards




Program rules


This program follows Bugcrowd’s
standard disclosure terms.


For any testing issues (such as broken credentials, inaccessible application, or Bugcrowd Ninja email
problems), please email support@bugcrowd.com. We will address your issue as soon as possible.



This program does not offer financial or point-based rewards for
P5
— Informational findings.
Learn more about Bugcrowd’s VRT.




"
Elementor: Bug Bounty Program,https://bugcrowd.com/elementor,"


Elementor is the leading website builder platform for professionals on WordPress. Elementor serves web professionals including developers, designers and marketers and boasts a new website created every 10 seconds on its platform. 
Elementor is an open-source, GPLv3 licensed offering its platform both as free and premium. Since launching in 2016, Elementor’s reach now extends to more than 180 countries, has more than 5,000,000 active installs, and is loved by many, as seen in over 4.5K five-star reviews it received in the WordPress repository.
General Guidelines

Vulnerability reports which will not include manual validation - for example, reports based only on results from automated tools and scanners or which describe theoretical attack vectors without proof of exploitability - will be automatically closed.
Indicate steps to reproduce and verify you demonstrate a working proof of concept. Submissions without sufficient details - will be automatically closed.
Please collect only the information necessary to demonstrate the vulnerability. 
Please only target your own accounts. DO NOT attempt to access the data of other accounts.
Our program will use Bugcrowd’s Vulnerability Rating Taxonomy. However, it is important to note that in some cases a vulnerability priority will be modified due to its actual likelihood or impact. In any instance where an issue is downgraded, a detailed explanation will be provided to the researcher.
Verify your target, do not attack any 3rd party supporting our services.
We base all payouts on impact and will reward accordingly. Please emphasize the actual impact as part of your submission description.
Rate Limiting - WAF technology is being utilized and will block high rate traffic deemed to be malicious. Stick with manual and pinpointed attack processes, don’t use mass scanning tools and avoid brute force attempts. If this occurs, discontinue your activity for a period of 24 hours.
Out of Scope submissions that will indicate sufficient reasoning (why you believe it should be considered) and demonstrable impact may be considered as “In Scope” submissions (case-by-case basis).

Reward Guidelines
We base all payouts on impact and will reward accordingly. Please emphasize the impact as part of your submission.
We are particularly interested and will consider extraordinary submissions for issues that result in full compromise of a system 



Priority
Reward Range




P1 (extraordinary submissions)
Up to $5,000


P1
$2,000 - $4,000


P2
$500 - $2,000


P3
$0 - $500


P4
Points Only







Scope and rewards




Program rules


This program follows Bugcrowd’s
standard disclosure terms.


For any testing issues (such as broken credentials, inaccessible application, or Bugcrowd Ninja email
problems), please email support@bugcrowd.com. We will address your issue as soon as possible.



This program does not offer financial or point-based rewards for
P5
— Informational findings.
Learn more about Bugcrowd’s VRT.




"
Lamoda,https://bugcrowd.com/lamoda,"


Lamoda believes that working with skilled security researchers across the globe is crucial in identifying weaknesses in any technology. If you believe you've found a security issue, we encourage you to notify us. We welcome working with you to resolve the issue promptly. 
Program Rules

Please provide detailed reports with reproducible steps. If the report is not detailed enough to reproduce the issue, the issue will not be eligible for a reward. 
Submit one vulnerability per report, unless you need to chain vulnerabilities to provide impact. 
When duplicates occur, we only award the first report that was received (provided that it can be fully reproduced). 
Any activity that could lead to the disruption of our service (DoS) is prohibited. 
Make a good faith effort to avoid privacy violations, destruction of data, and interruption or degradation of our service. Only interact with accounts you own or with explicit permission of the account holder. 


Multiple vulnerabilities caused by one underlying issue will be awarded one bounty. 
The amounts below are the minimum and maximum bounties we will pay per bug based on severity. We aim to be fair: all reward amounts are at our discretion. 



Disclosure Policy
As this is a private program, please do not discuss this program or any vulnerabilities (even resolved ones) outside of the program without express consent from the organization. 
Response Targets
Lamoda will make a best effort to meet the following response targets for hackers participating in our program: 
Time to First Response: 2 business days 
Time to Triage: 10 business days
Time to Bounty: 5 business days 
Time to Resolution: Up to 45 business days. We’ll try to keep you informed about our progress throughout the process.
Ratings/Rewards:
For the initial prioritization/rating of findings, this program will use the Bugcrowd Vulnerability Rating Taxonomy. However, it is important to note that in some cases a vulnerability priority will be modified due to its likelihood or impact. In any instance where an issue is downgraded, a full, detailed explanation will be provided to the researcher - along with the opportunity to appeal, and make a case for a higher priority.




Scope and rewards




Program rules


This program follows Bugcrowd’s
standard disclosure terms.


For any testing issues (such as broken credentials, inaccessible application, or Bugcrowd Ninja email
problems), please email support@bugcrowd.com. We will address your issue as soon as possible.



This program does not offer financial or point-based rewards for
P5
— Informational findings.
Learn more about Bugcrowd’s VRT.




"
